"Campaign","Ad Group","Ad Group Status","Max CPC"
"C1 | Laser","AG1 - Manchas y melasma","Enabled","1530"
"C1 | Laser","AG2 - Rosacea y aranitas","Enabled","1530"
"C1 | Laser","AG3 - Cicatrices de acne y poros","Enabled","1530"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","Enabled","1530"
"C1 | Laser","AG5 - Caida de pelo","Enabled","1530"
"C1 | Laser","AG6 - Ojeras y estrias","Enabled","1377"
"C1 | Laser","AG7 - Onicomicosis","Enabled","1071"
"C2 | Toxina botulinica","AG8 - Toxina estetica","Enabled","1836"
"C2 | Toxina botulinica","AG9 - Toxina medica","Enabled","1683"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","Enabled","1224"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","Enabled","842"
"C3 | Cosmiatria","AG11 - Peelings","Enabled","842"
