"Campaign","Ad Group","Keyword","Criterion Type","Final URL","Status"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento para manchas en la cara","Phrase","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","laser para manchas en la cara","Phrase","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","como sacar manchas de la cara","Phrase","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento melasma","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","melasma laser","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento para el melasma en la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","manchas por sol en la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","lentigos solares tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","manchas en las manos tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-manos","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","luz pulsada para manchas","Phrase","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","luz pulsada facial","Phrase","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","laser q switch","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","manchas despues del acne","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-facial","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","hiperpigmentacion post inflamatoria","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-puntual","Enabled"
"C1 | Laser","AG1 - Manchas y melasma","axilas oscuras tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-puntual","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","tratamiento rosacea","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","laser para rosacea","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","rojeces en la cara tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","aranitas en la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","telangiectasias tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","capilares rotos en la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","puntos rubi","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","lunares rojos en la piel","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG2 - Rosacea y aranitas","laser vascular facial","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","cicatrices de acne tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser para cicatrices de acne","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","marcas de acne en la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","poros dilatados tratamiento","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","como cerrar los poros de la cara","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser fraccionado facial","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser erbium","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","textura irregular de la piel","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Enabled"
"C1 | Laser","AG3 - Cicatrices de acne y poros","cicatrices en la piel tratamiento laser","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Enabled"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","rejuvenecimiento facial laser","Phrase","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","Enabled"
