"Campaign","Keyword","Criterion Type"
"C1 | Laser","depilacion","Campaign Negative Broad"
"C1 | Laser","depilacion definitiva","Campaign Negative Phrase"
"C1 | Laser","depilacion laser","Campaign Negative Phrase"
"C1 | Laser","depilarse","Campaign Negative Broad"
"C1 | Laser","vello","Campaign Negative Broad"
"C1 | Laser","pelos","Campaign Negative Broad"
"C1 | Laser","botox capilar","Campaign Negative Phrase"
"C1 | Laser","botox para el pelo","Campaign Negative Phrase"
"C1 | Laser","botox capilar precio","Campaign Negative Phrase"
"C1 | Laser","alisado","Campaign Negative Broad"
"C1 | Laser","keratina","Campaign Negative Broad"
"C1 | Laser","nanoplastia","Campaign Negative Broad"
"C1 | Laser","tatuaje","Campaign Negative Broad"
"C1 | Laser","tatuajes","Campaign Negative Broad"
"C1 | Laser","borrar tatuaje","Campaign Negative Phrase"
"C1 | Laser","miopia","Campaign Negative Broad"
"C1 | Laser","astigmatismo","Campaign Negative Broad"
"C1 | Laser","operacion de ojos","Campaign Negative Phrase"
"C1 | Laser","laser ocular","Campaign Negative Phrase"
"C1 | Laser","laser dental","Campaign Negative Phrase"
"C1 | Laser","laser co2","Campaign Negative Phrase"
"C1 | Laser","podologia","Campaign Negative Broad"
"C1 | Laser","unas esculpidas","Campaign Negative Phrase"
"C1 | Laser","kapping","Campaign Negative Broad"
"C1 | Laser","manicura","Campaign Negative Broad"
"C1 | Laser","semipermanente","Campaign Negative Broad"
"C1 | Laser","obra social","Campaign Negative Phrase"
"C1 | Laser","prepaga","Campaign Negative Phrase"
"C1 | Laser","osde","Campaign Negative Broad"
"C1 | Laser","swiss medical","Campaign Negative Phrase"
"C1 | Laser","galeno","Campaign Negative Broad"
"C1 | Laser","medife","Campaign Negative Broad"
"C1 | Laser","omint","Campaign Negative Broad"
"C1 | Laser","pami","Campaign Negative Broad"
"C1 | Laser","ioma","Campaign Negative Broad"
"C1 | Laser","hospital","Campaign Negative Broad"
"C1 | Laser","gratis","Campaign Negative Broad"
"C1 | Laser","gratuito","Campaign Negative Broad"
"C1 | Laser","gratuita","Campaign Negative Broad"
"C1 | Laser","curso","Campaign Negative Broad"
"C1 | Laser","cursos","Campaign Negative Broad"
"C1 | Laser","capacitacion","Campaign Negative Broad"
"C1 | Laser","carrera","Campaign Negative Broad"
"C1 | Laser","estudiar","Campaign Negative Broad"
"C1 | Laser","universidad","Campaign Negative Broad"
"C1 | Laser","facultad","Campaign Negative Broad"
"C1 | Laser","diplomatura","Campaign Negative Broad"
"C1 | Laser","certificacion","Campaign Negative Broad"
"C1 | Laser","tutorial","Campaign Negative Broad"
"C1 | Laser","paso a paso","Campaign Negative Phrase"
"C1 | Laser","que es","Campaign Negative Phrase"
"C1 | Laser","significado","Campaign Negative Broad"
"C1 | Laser","definicion","Campaign Negative Broad"
"C1 | Laser","wikipedia","Campaign Negative Broad"
"C1 | Laser","pdf","Campaign Negative Broad"
"C1 | Laser","imagenes","Campaign Negative Broad"
"C1 | Laser","antes y despues","Campaign Negative Phrase"
"C1 | Laser","trabajo","Campaign Negative Broad"
"C1 | Laser","empleo","Campaign Negative Broad"
"C1 | Laser","vacante","Campaign Negative Broad"
"C1 | Laser","sueldo","Campaign Negative Broad"
"C1 | Laser","cuanto gana","Campaign Negative Phrase"
"C1 | Laser","curriculum","Campaign Negative Broad"
"C1 | Laser","barato","Campaign Negative Broad"
"C1 | Laser","baratos","Campaign Negative Broad"
"C1 | Laser","economico","Campaign Negative Broad"
"C1 | Laser","mas barato","Campaign Negative Phrase"
"C1 | Laser","low cost","Campaign Negative Phrase"
"C1 | Laser","promo","Campaign Negative Broad"
"C1 | Laser","promocion","Campaign Negative Broad"
"C1 | Laser","oferta","Campaign Negative Broad"
"C1 | Laser","descuento","Campaign Negative Broad"
"C1 | Laser","cuotas","Campaign Negative Broad"
"C1 | Laser","2x1","Campaign Negative Broad"
"C1 | Laser","hot sale","Campaign Negative Phrase"
"C1 | Laser","black friday","Campaign Negative Phrase"
"C1 | Laser","groupon","Campaign Negative Broad"
"C1 | Laser","casero","Campaign Negative Broad"
"C1 | Laser","caseros","Campaign Negative Broad"
"C1 | Laser","remedio","Campaign Negative Broad"
"C1 | Laser","remedios","Campaign Negative Broad"
"C1 | Laser","receta casera","Campaign Negative Phrase"
"C1 | Laser","natural","Campaign Negative Broad"
"C1 | Laser","a domicilio","Campaign Negative Phrase"
"C1 | Laser","spa","Campaign Negative Broad"
"C1 | Laser","masajes","Campaign Negative Broad"
"C1 | Laser","relleno de labios","Campaign Negative Phrase"
"C1 | Laser","aumento de labios","Campaign Negative Phrase"
"C1 | Laser","acido hialuronico labios","Campaign Negative Phrase"
"C1 | Laser","relleno facial","Campaign Negative Phrase"
"C1 | Laser","hilos tensores","Campaign Negative Phrase"
"C1 | Laser","lifting","Campaign Negative Broad"
"C1 | Laser","liposuccion","Campaign Negative Broad"
"C1 | Laser","lipoaspiracion","Campaign Negative Broad"
"C1 | Laser","abdominoplastia","Campaign Negative Broad"
"C1 | Laser","protesis mamarias","Campaign Negative Phrase"
