"Campaign","Location","Bid Modifier"
"C1 | Laser","Palermo, Buenos Aires, Argentina","20"
"C1 | Laser","Belgrano, Buenos Aires, Argentina","15"
"C1 | Laser","Recoleta, Buenos Aires, Argentina","15"
"C1 | Laser","Nunez, Buenos Aires, Argentina","10"
"C1 | Laser","Colegiales, Buenos Aires, Argentina","10"
"C1 | Laser","Villa Crespo, Buenos Aires, Argentina","10"
"C1 | Laser","Caballito, Buenos Aires, Argentina","0"
"C1 | Laser","Villa Urquiza, Buenos Aires, Argentina","0"
"C1 | Laser","Almagro, Buenos Aires, Argentina","0"
"C1 | Laser","Chacarita, Buenos Aires, Argentina","0"
"C1 | Laser","Vicente Lopez, Buenos Aires Province, Argentina","10"
"C1 | Laser","San Isidro, Buenos Aires Province, Argentina","-15"
"C2 | Toxina botulinica","Palermo, Buenos Aires, Argentina","20"
"C2 | Toxina botulinica","Belgrano, Buenos Aires, Argentina","15"
"C2 | Toxina botulinica","Recoleta, Buenos Aires, Argentina","15"
"C2 | Toxina botulinica","Nunez, Buenos Aires, Argentina","10"
"C2 | Toxina botulinica","Colegiales, Buenos Aires, Argentina","10"
"C2 | Toxina botulinica","Villa Crespo, Buenos Aires, Argentina","10"
"C2 | Toxina botulinica","Caballito, Buenos Aires, Argentina","0"
"C2 | Toxina botulinica","Villa Urquiza, Buenos Aires, Argentina","0"
"C2 | Toxina botulinica","Almagro, Buenos Aires, Argentina","0"
"C2 | Toxina botulinica","Chacarita, Buenos Aires, Argentina","0"
"C2 | Toxina botulinica","Vicente Lopez, Buenos Aires Province, Argentina","10"
"C2 | Toxina botulinica","San Isidro, Buenos Aires Province, Argentina","-15"
"C4 | Dermatologa Palermo","Palermo, Buenos Aires, Argentina","20"
"C4 | Dermatologa Palermo","Belgrano, Buenos Aires, Argentina","15"
"C4 | Dermatologa Palermo","Recoleta, Buenos Aires, Argentina","15"
"C4 | Dermatologa Palermo","Nunez, Buenos Aires, Argentina","10"
"C4 | Dermatologa Palermo","Colegiales, Buenos Aires, Argentina","10"
"C4 | Dermatologa Palermo","Villa Crespo, Buenos Aires, Argentina","10"
"C4 | Dermatologa Palermo","Caballito, Buenos Aires, Argentina","0"
"C4 | Dermatologa Palermo","Villa Urquiza, Buenos Aires, Argentina","0"
"C4 | Dermatologa Palermo","Almagro, Buenos Aires, Argentina","0"
"C4 | Dermatologa Palermo","Chacarita, Buenos Aires, Argentina","0"
"C4 | Dermatologa Palermo","Vicente Lopez, Buenos Aires Province, Argentina","10"
"C4 | Dermatologa Palermo","San Isidro, Buenos Aires Province, Argentina","-15"
"C3 | Cosmiatria","Palermo, Buenos Aires, Argentina","20"
"C3 | Cosmiatria","Belgrano, Buenos Aires, Argentina","15"
"C3 | Cosmiatria","Recoleta, Buenos Aires, Argentina","15"
"C3 | Cosmiatria","Nunez, Buenos Aires, Argentina","10"
"C3 | Cosmiatria","Colegiales, Buenos Aires, Argentina","10"
"C3 | Cosmiatria","Villa Crespo, Buenos Aires, Argentina","10"
"C3 | Cosmiatria","Caballito, Buenos Aires, Argentina","0"
"C3 | Cosmiatria","Villa Urquiza, Buenos Aires, Argentina","0"
"C3 | Cosmiatria","Almagro, Buenos Aires, Argentina","0"
"C3 | Cosmiatria","Chacarita, Buenos Aires, Argentina","0"
"C3 | Cosmiatria","Vicente Lopez, Buenos Aires Province, Argentina","10"
"C3 | Cosmiatria","San Isidro, Buenos Aires Province, Argentina","-15"
