"Tipo","Nivel","Texto","Descripción 1","Descripción 2","URL final"
"Sitelink","Cuenta","Tratamientos láser","Alma Lasers en Palermo.","Indicado tras diagnóstico.","https://www.lumapiel.com.ar/especialidades/tratamientos-laser"
"Sitelink","Cuenta","Manchas y melasma","Q-Switch, Erbium, luz pulsada.","Primero, qué tipo de mancha.","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma"
"Sitelink","Cuenta","Rosácea y arañitas","Láser Vascupen, sin agujas.","Sesión de 30 minutos.","https://www.lumapiel.com.ar/tratamientos/laser-vascupen"
"Sitelink","Cuenta","Cicatrices de acné","Erbium Glass fraccionado.","Colágeno sin dañar la piel.","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass"
"Sitelink","Cuenta","Caída de pelo","Láser capilar, PRP y meso.","Diagnóstico antes del plan.","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar"
"Sitelink","Cuenta","Toxina botulínica","Dosis medidas, naturalidad.","Aplicada por dermatóloga.","https://www.lumapiel.com.ar/tratamientos/botox"
"Sitelink","Cuenta","Cosmiatría","Limpiezas y peelings.","Con criterio médico.","https://www.lumapiel.com.ar/especialidades/cosmiatria"
"Sitelink","Cuenta","Sobre la Dra. Gandolfo","Médica dermatóloga, UBA.","MN 176541, SAD.","https://www.lumapiel.com.ar/doctora/agustina-gandolfo"
"Texto destacado","Cuenta","Médica dermatóloga UBA","","",""
"Texto destacado","Cuenta","Tecnología Alma Lasers","","",""
"Texto destacado","Cuenta","MN 176541","","",""
"Texto destacado","Cuenta","Palermo, CABA","","",""
"Texto destacado","Cuenta","Evaluación previa siempre","","",""
"Texto destacado","Cuenta","Plan individualizado","","",""
"Texto destacado","Cuenta","Turnos particulares","","",""
"Texto destacado","Cuenta","Resultados honestos","","",""
"Fragmento estructurado (Servicios)","Cuenta","Láser Q-Switch","","",""
"Fragmento estructurado (Servicios)","Cuenta","Láser Erbium","","",""
"Fragmento estructurado (Servicios)","Cuenta","Luz pulsada","","",""
"Fragmento estructurado (Servicios)","Cuenta","Láser Vascupen","","",""
"Fragmento estructurado (Servicios)","Cuenta","Toxina botulínica","","",""
"Fragmento estructurado (Servicios)","Cuenta","Peelings médicos","","",""
"Llamada","Cuenta","+54 9 11 2527-6361","","",""
"Ubicación","Cuenta","Vincular Perfil de Empresa: Arenales 3819 2° A, C1425 CABA","","",""
"Sitelink","Cuenta","Consulta 1° vez","Evaluación integral de 60 min.","Diagnóstico y plan a medida.","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez"
"Sitelink","Cuenta","Consulta online","Teleconsulta dermatológica.","Para quienes no pueden venir.","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-online"
"Sitelink","Cuenta","Cómo llegar","Arenales 3819, Palermo.","Subte D: Bulnes o Agüero.","https://www.lumapiel.com.ar/contacto"
