"Campaign","Ad Group","Keyword","Criterion Type","Max CPC","Final URL","Patologia -> Tratamiento"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento para manchas en la cara","Phrase","1.00","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Manchas -> IPL / Q-Switch"
"C1 | Laser","AG1 - Manchas y melasma","laser para manchas en la cara","Phrase","1.00","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Manchas -> IPL / Q-Switch"
"C1 | Laser","AG1 - Manchas y melasma","como sacar manchas de la cara","Phrase","0.85","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Manchas -> IPL / Q-Switch"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento melasma","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Melasma -> Q-Switch Melasma"
"C1 | Laser","AG1 - Manchas y melasma","melasma laser","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Melasma -> Q-Switch Melasma"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento para el melasma en la cara","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-melasma","Melasma -> Q-Switch / Erbium Melasma"
"C1 | Laser","AG1 - Manchas y melasma","manchas por sol en la cara","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Lentigos solares -> IPL facial"
"C1 | Laser","AG1 - Manchas y melasma","lentigos solares tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Lentigos -> IPL"
"C1 | Laser","AG1 - Manchas y melasma","manchas en las manos tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-manos","Lentigos dorso mano -> IPL Manos"
"C1 | Laser","AG1 - Manchas y melasma","luz pulsada para manchas","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Pigmentacion -> IPL"
"C1 | Laser","AG1 - Manchas y melasma","luz pulsada facial","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/luz-pulsada-facial","Pigmentacion -> IPL facial"
"C1 | Laser","AG1 - Manchas y melasma","laser q switch","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-facial","Pigmentacion -> Q-Switch"
"C1 | Laser","AG1 - Manchas y melasma","manchas despues del acne","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-facial","Hiperpigmentacion postinflamatoria -> Q-Switch"
"C1 | Laser","AG1 - Manchas y melasma","hiperpigmentacion post inflamatoria","Phrase","0.80","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-puntual","HPI -> Q-Switch Puntual"
"C1 | Laser","AG1 - Manchas y melasma","axilas oscuras tratamiento","Phrase","0.75","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-puntual","Pliegues oscurecidos -> Q-Switch Puntual"
"C1 | Laser","AG2 - Rosacea y aranitas","tratamiento rosacea","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Rosacea vascular -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","laser para rosacea","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Rosacea -> Vascupen / IPL"
"C1 | Laser","AG2 - Rosacea y aranitas","rojeces en la cara tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Eritema -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","aranitas en la cara","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Telangiectasias -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","telangiectasias tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Telangiectasias -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","capilares rotos en la cara","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Vasos dilatados -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","puntos rubi","Phrase","0.70","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Angiomas rubi -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","lunares rojos en la piel","Phrase","0.65","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Angiomas -> Vascupen"
"C1 | Laser","AG2 - Rosacea y aranitas","laser vascular facial","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","Lesiones vasculares -> Vascupen"
"C1 | Laser","AG3 - Cicatrices de acne y poros","cicatrices de acne tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Cicatrices post-acne -> Erbium Glass"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser para cicatrices de acne","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Cicatrices -> Erbium Glass"
"C1 | Laser","AG3 - Cicatrices de acne y poros","marcas de acne en la cara","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Marcas post-acne -> Erbium Glass"
"C1 | Laser","AG3 - Cicatrices de acne y poros","poros dilatados tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Poros / textura -> Velo de Novia"
"C1 | Laser","AG3 - Cicatrices de acne y poros","como cerrar los poros de la cara","Phrase","0.70","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Poros -> Velo de Novia"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser fraccionado facial","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Textura / cicatrices -> Erbium Glass"
