"Lista","Palabra clave negativa","Concordancia","Motivo","Prioridad"
"NEG Laser - critica","depilacion","Amplia","La palabra laser atrae depilacion masivamente. No se ofrece.","MAXIMA"
"NEG Laser - critica","depilacion definitiva","Frase","No se ofrece","MAXIMA"
"NEG Laser - critica","depilacion laser","Frase","No se ofrece","MAXIMA"
"NEG Laser - critica","depilarse","Amplia","No se ofrece","MAXIMA"
"NEG Laser - critica","vello","Amplia","Depilacion. No se ofrece","MAXIMA"
"NEG Laser - critica","pelos","Amplia","Depilacion. No confundir con caida de pelo","ALTA"
"NEG Laser - critica","botox capilar","Frase","Alisado de peluqueria. Volumen enorme y cero relacion","MAXIMA"
"NEG Laser - critica","botox para el pelo","Frase","Alisado de peluqueria","MAXIMA"
"NEG Laser - critica","botox capilar precio","Frase","Alisado de peluqueria","MAXIMA"
"NEG Laser - critica","alisado","Amplia","Peluqueria","MAXIMA"
"NEG Laser - critica","keratina","Amplia","Peluqueria","MAXIMA"
"NEG Laser - critica","nanoplastia","Amplia","Peluqueria","ALTA"
"NEG Laser - critica","tatuaje","Amplia","No se ofrece remocion de tatuajes","MAXIMA"
"NEG Laser - critica","tatuajes","Amplia","No se ofrece","MAXIMA"
"NEG Laser - critica","borrar tatuaje","Frase","No se ofrece","MAXIMA"
"NEG Laser - critica","miopia","Amplia","Laser oftalmologico","MAXIMA"
"NEG Laser - critica","astigmatismo","Amplia","Laser oftalmologico","MAXIMA"
"NEG Laser - critica","operacion de ojos","Frase","Laser oftalmologico","MAXIMA"
"NEG Laser - critica","laser ocular","Frase","Laser oftalmologico","MAXIMA"
"NEG Laser - critica","laser dental","Frase","Odontologia","ALTA"
"NEG Laser - critica","laser co2","Frase","No es la tecnologia del consultorio","MEDIA"
"NEG Laser - critica","podologia","Amplia","Onicomicosis atrae podologia","ALTA"
"NEG Laser - critica","unas esculpidas","Frase","Manicura, no onicomicosis","ALTA"
"NEG Laser - critica","kapping","Amplia","Manicura","ALTA"
"NEG Laser - critica","manicura","Amplia","Manicura","ALTA"
"NEG Laser - critica","semipermanente","Amplia","Manicura","ALTA"
"NEG Global","obra social","Frase","Solo atienden particular","MAXIMA"
"NEG Global","prepaga","Frase","Solo particular","MAXIMA"
"NEG Global","osde","Amplia","Solo particular","ALTA"
"NEG Global","swiss medical","Frase","Solo particular","ALTA"
"NEG Global","galeno","Amplia","Solo particular","ALTA"
"NEG Global","medife","Amplia","Solo particular","ALTA"
"NEG Global","omint","Amplia","Solo particular","ALTA"
"NEG Global","pami","Amplia","Solo particular","ALTA"
"NEG Global","ioma","Amplia","Solo particular","ALTA"
"NEG Global","hospital","Amplia","Busca atencion publica","ALTA"
"NEG Global","gratis","Amplia","Sin intencion de pago","ALTA"
"NEG Global","gratuito","Amplia","Sin intencion de pago","ALTA"
"NEG Global","gratuita","Amplia","Sin intencion de pago","ALTA"
"NEG Global","curso","Amplia","Busca formacion, no tratamiento","MAXIMA"
"NEG Global","cursos","Amplia","Busca formacion","MAXIMA"
"NEG Global","capacitacion","Amplia","Busca formacion","ALTA"
"NEG Global","carrera","Amplia","Busca formacion","ALTA"
"NEG Global","estudiar","Amplia","Busca formacion","ALTA"
"NEG Global","universidad","Amplia","Busca formacion","ALTA"
"NEG Global","facultad","Amplia","Busca formacion","ALTA"
"NEG Global","diplomatura","Amplia","Busca formacion","ALTA"
"NEG Global","certificacion","Amplia","Busca formacion","MEDIA"
"NEG Global","tutorial","Amplia","Intencion informativa","MEDIA"
"NEG Global","paso a paso","Frase","Intencion informativa","MEDIA"
"NEG Global","que es","Frase","Intencion informativa pura","MEDIA"
"NEG Global","significado","Amplia","Intencion informativa","MEDIA"
"NEG Global","definicion","Amplia","Intencion informativa","MEDIA"
"NEG Global","wikipedia","Amplia","Intencion informativa","MEDIA"
"NEG Global","pdf","Amplia","Intencion informativa","MEDIA"
"NEG Global","imagenes","Amplia","Busca fotos","MEDIA"
"NEG Global","antes y despues","Frase","Busca fotos de resultados","MEDIA"
"NEG Global","trabajo","Amplia","Busqueda laboral","ALTA"
"NEG Global","empleo","Amplia","Busqueda laboral","ALTA"
"NEG Global","vacante","Amplia","Busqueda laboral","ALTA"
"NEG Global","sueldo","Amplia","Busqueda laboral","ALTA"
"NEG Global","cuanto gana","Frase","Busqueda laboral","ALTA"
"NEG Global","curriculum","Amplia","Busqueda laboral","ALTA"
"NEG Perfil","barato","Amplia","Perfil precio, no es el paciente objetivo","ALTA"
"NEG Perfil","baratos","Amplia","Perfil precio","ALTA"
"NEG Perfil","economico","Amplia","Perfil precio","ALTA"
"NEG Perfil","mas barato","Frase","Perfil precio","ALTA"
"NEG Perfil","low cost","Frase","Perfil precio","ALTA"
"NEG Perfil","promo","Amplia","Perfil promocion","ALTA"
"NEG Perfil","promocion","Amplia","Perfil promocion","ALTA"
"NEG Perfil","oferta","Amplia","Perfil promocion","ALTA"
"NEG Perfil","descuento","Amplia","Perfil promocion","ALTA"
"NEG Perfil","cuotas","Amplia","Perfil promocion","ALTA"
"NEG Perfil","2x1","Amplia","Perfil promocion","ALTA"
"NEG Perfil","hot sale","Frase","Perfil promocion","ALTA"
"NEG Perfil","black friday","Frase","Perfil promocion","ALTA"
"NEG Perfil","groupon","Amplia","Perfil promocion","ALTA"
"NEG Perfil","casero","Amplia","Busca solucion casera","ALTA"
"NEG Perfil","caseros","Amplia","Busca solucion casera","ALTA"
"NEG Perfil","remedio","Amplia","Busca solucion casera","ALTA"
"NEG Perfil","remedios","Amplia","Busca solucion casera","ALTA"
"NEG Perfil","receta casera","Frase","Busca solucion casera","ALTA"
"NEG Perfil","natural","Amplia","Busca alternativa no medica","MEDIA"
"NEG Perfil","a domicilio","Frase","No se ofrece","ALTA"
"NEG Perfil","spa","Amplia","Perfil no medico","ALTA"
"NEG Perfil","masajes","Amplia","No se ofrece","ALTA"
"NEG Servicios no ofrecidos","relleno de labios","Frase","No hay rellenos en el catalogo","ALTA"
"NEG Servicios no ofrecidos","aumento de labios","Frase","No se ofrece","ALTA"
"NEG Servicios no ofrecidos","acido hialuronico labios","Frase","No se ofrece","ALTA"
